x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,1
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,0
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,1
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,1
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,0
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,1
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,0
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,1
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,1
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,0
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,0
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,1
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,0
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,1
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,1
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,1
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,0
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,0
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,0
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,1
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,0
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,1
7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,1
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,0
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,0
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,0
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,0
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,0
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,1
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,0
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,0
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,0
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,1
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,1
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,1
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,1
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,1
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,0
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,0
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,0
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,0
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,0
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,1
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,1
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,1
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,0
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,1
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,1
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,1
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,1
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,1
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,1
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,1
8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,1
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,1
8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,1
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,0
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,1
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,1
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,0
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,1
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,1
7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,0
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,0
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,1
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,0
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,1
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,1
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,0
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,1
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,1
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,0
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,0
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,1
8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,0
6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,0
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,0
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,0
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,1
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,1
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,0
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,1
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,0
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,1
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,1
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,1
7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,1
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,0
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,1
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,1
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,0
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,1
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,1
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,1
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,1
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,1
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,1
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,0
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,1
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,0
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,0
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,0
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,1
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,0
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,1
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,1
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,0
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,1
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,1
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,1
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,1
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,0
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,1
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,1
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,0
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,0
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,1
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,0
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,0
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,0
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,0
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,0
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,1
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,0
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,0
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,0
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,1
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,0
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,1
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,0
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,1
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,1
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,1
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,1
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,1
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,1
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,0
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,1
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,0
7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,1
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,0
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,1
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,1
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,1
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,0
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,1
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,0
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,1
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,0
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,0
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,1
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,0
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,0
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,1
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,1
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,0
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,1
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,1
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,0
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,1
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,1
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1
8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,0
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,1
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,0
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,1
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,0
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,1
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,1
9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,1
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,0
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,1
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,0
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,1
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,0
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,1
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,1
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,0
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,1
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,1
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,1
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,1
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,1
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,1
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,1
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,1
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,1
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,0
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,1
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,1
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,1
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0
9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,1
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,1
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,1
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,1
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,0
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,0
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,0
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,0
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,1
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,0
7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,1
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,1
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,1
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,1
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,1
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,0
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,1
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,1
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,0
6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,1
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,0
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,1
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,0
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,0
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,0
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,1
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,0
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,0
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,0
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,1
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,0
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,0
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,0
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,1
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,1
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,1
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,0
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,1
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,0
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,0
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,1
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,0
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,0
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,0
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,0
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,1
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,0
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,1
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,1
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,1
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,0
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,0
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,1
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,1
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,1
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,1
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,0
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,1
