x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,1
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,0
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,0
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,0
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,1
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,0
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,1
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,1
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,1
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,1
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,0
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,1
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,0
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,0
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,0
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,0
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,1
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,0
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,0
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,0
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,0
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,1
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,1
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,1
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,1
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,1
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,0
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,0
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,1
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,1
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,1
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,0
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,1
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,1
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,0
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,0
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,0
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,0
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,0
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,1
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,0
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,0
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,0
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,1
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,0
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,0
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,1
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,0
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,0
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,0
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,0
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,0
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,1
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,0
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,0
6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,1
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,1
7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,1
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,0
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,0
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,0
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,1
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,0
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,0
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,0
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,0
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,0
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,1
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,1
6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,1
6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,0
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,1
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,1
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,1
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,1
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,0
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,0
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,1
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,1
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,0
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,1
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,1
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,1
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,1
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,0
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,0
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,0
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,1
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,1
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,0
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,0
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,1
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,0
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,0
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,1
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,0
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,0
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,0
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,1
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,0
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,0
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,0
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,1
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,0
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,0
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,1
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,1
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,0
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,0
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,1
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,1
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,1
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,1
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,0
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,0
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,1
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,1
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,1
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,1
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,0
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,1
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,1
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,1
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,0
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,1
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,1
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,1
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,1
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,1
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,0
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,1
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,0
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,0
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,0
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,1
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,1
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,1
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,0
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,1
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,1
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,0
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,0
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,1
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,0
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,0
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,0
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,0
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,1
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,1
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,1
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,1
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,0
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,0
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,0
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,0
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,1
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,0
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,1
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,0
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,0
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,0
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,1
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,0
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,1
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,1
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,0
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,1
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,1
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,0
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,0
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,1
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,1
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,0
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,0
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,1
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,0
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,0
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,0
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,0
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,0
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,0
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,1
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,0
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,1
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,0
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,1
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,1
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,1
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,0
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,0
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,0
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,1
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,1
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,1
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,1
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,0
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,1
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,1
7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,1
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,1
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,1
8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,1
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,0
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,1
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,0
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,1
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,1
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,0
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,1
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,1
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,0
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,1
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,1
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,1
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,1
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,0
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,1
7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,0
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,1
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,0
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,0
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,1
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,1
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,0
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,1
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,0
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,1
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,0
